x,y,utc,discipline,flight_id
446544.2379287842,6874930.108720405,1307789184.0,paragliders,20106191
446763.8497616311,6874989.338012034,1309441152.0,paragliders,20106918
448673.7129294083,6873177.366890441,1309437184.0,paragliders,20107087
445919.5969174438,6870647.545469617,1336914048.0,paragliders,20114710
447234.1188019403,6870560.651226621,1337185792.0,paragliders,20115003
447672.17868465534,6870084.633330025,1337168640.0,paragliders,20115007
446164.9533586546,6874729.678248386,1338207872.0,paragliders,20115424
447455.4880423964,6871305.329047034,1338208768.0,paragliders,20115424
446725.19990627014,6870406.010453836,1338209408.0,paragliders,20115424
447012.54635444283,6874991.124960548,1343482496.0,paragliders,20118918
447971.6544249569,6874897.722382572,1343647744.0,paragliders,20119019
446984.23581466696,6874898.608417517,1345650944.0,paragliders,20120709
448143.7447028604,6873935.941993419,1345648768.0,paragliders,20120722
445462.3431931612,6870081.607859305,1345737600.0,paragliders,20120838
445904.50074654,6873385.5124529535,1346156800.0,paragliders,20121112
445393.32901653415,6874542.064562336,1349009024.0,paragliders,20122305
447222.81801431923,6870120.36016939,1367154176.0,paragliders,20126880
448191.51699164667,6870066.218279806,1369577216.0,paragliders,20128537
447998.02583916753,6874751.762081112,1372947328.0,paragliders,20130913
447375.43261096015,6870013.3790856935,1377692928.0,paragliders,20135511
448544.1858115364,6872309.298968948,1397043456.0,paragliders,20141276
445177.1266394999,6872764.346580994,1397044480.0,paragliders,20141276
446244.6910464251,6870736.499387921,1397219456.0,paragliders,20141579
446306.35607568664,6870759.111208353,1397219456.0,paragliders,20141592
446694.8634950958,6870038.598649257,1397910144.0,paragliders,20142668
447603.88483685174,6870243.163483765,1402221312.0,paragliders,20147312
446838.8290400265,6870054.298567066,1404302080.0,paragliders,20149423
445786.8952169264,6874503.5642269775,1404383616.0,paragliders,20149460
447336.64138783596,6874941.838500222,1405337856.0,paragliders,20149973
446747.43091794354,6874801.834134857,1405332480.0,paragliders,20149989
446733.28452152485,6874990.337872955,1405348480.0,paragliders,20149997
446902.2683849813,6874899.713416474,1405351680.0,paragliders,20149997
446291.73530497367,6874982.102564775,1405345920.0,paragliders,20150000
449183.59573296894,6873789.512930335,1405347328.0,paragliders,20150000
449248.7566827405,6873773.847990433,1405347328.0,paragliders,20150000
449315.5510543053,6873835.3928091545,1405347328.0,paragliders,20150000
449275.6117953817,6873906.965607643,1405347328.0,paragliders,20150000
449191.6253180555,6873973.043502003,1405347328.0,paragliders,20150000
447057.5620469019,6874878.289566637,1405337856.0,paragliders,20150007
446703.6622608426,6874826.179069351,1405332362.6666667,paragliders,20150027
449950.4106286354,6873284.087533112,1431865472.0,paragliders,20164901
447026.7267228789,6874970.973595047,1432985216.0,paragliders,20166097
448796.13382017,6874551.19702208,1432986368.0,paragliders,20166319
446847.7190386222,6874850.276891566,1433339904.0,paragliders,20166947
445199.5034280432,6873793.651421275,1434190720.0,paragliders,20168006
445923.5837702226,6873751.769795458,1434204672.0,paragliders,20168036
445071.4124716746,6874968.339878086,1434190208.0,paragliders,20168080
445240.3772278758,6873809.988241567,1434190592.0,paragliders,20168080
445242.0008245509,6873817.715493115,1434190592.0,paragliders,20168080
445248.6339362808,6873841.747050441,1434190645.8970091,paragliders,20168080
446311.6723970404,6874961.066639329,1436011392.0,paragliders,20170733
447619.9215998248,6874518.089675308,1435500032.0,paragliders,20173183
448498.71702519216,6874494.232051878,1435500288.0,paragliders,20173183
447781.8604695188,6874133.817313086,1441193984.0,paragliders,20176842
447448.6420073773,6870063.327811903,1441542272.0,paragliders,20177094
447276.29127928923,6870065.1253158,1441536896.0,paragliders,20177117
447135.3598417599,6870022.443908088,1441537024.0,paragliders,20177161
447160.39971267135,6870009.234223339,1441633408.0,paragliders,20177242
445980.35176870954,6870055.1359288525,1443275392.0,paragliders,20178205
446643.46342576895,6870395.614612903,1457788544.0,paragliders,20181215
446665.39021769085,6870236.7438051645,1457788672.0,paragliders,20181220
446532.70075660525,6874708.969565399,1460982272.0,paragliders,20183937
446436.5167917263,6874245.980069047,1460983680.0,paragliders,20183966
445366.9641564953,6872928.265474975,1460984064.0,paragliders,20183966
446939.9922214573,6873924.647775162,1461837568.0,paragliders,20184628
448603.09694225574,6872819.365057376,1461837952.0,paragliders,20184628
448688.214332411,6872772.008318465,1461837952.0,paragliders,20184628
448816.26065595035,6872771.020755719,1461837952.0,paragliders,20184628
447357.26654685737,6874120.650150957,1461836672.0,paragliders,20184656
446923.4627325329,6874954.436744648,1463326976.0,paragliders,20187295
446591.1974790892,6874851.850036757,1463326336.0,paragliders,20187311
447028.6411178575,6874415.9200492855,1463401216.0,paragliders,20187434
445303.1762591355,6870464.360312605,1464095872.0,paragliders,20188533
446764.46248036204,6874646.221495686,1466339712.0,paragliders,20189953
447319.45740955893,6874718.472036695,1466339840.0,paragliders,20189961
447345.276581884,6874957.721041634,1466769792.0,paragliders,20190540
448925.2433169026,6871893.902316288,1466770944.0,paragliders,20190540
446916.56497110997,6874136.556419063,1467981440.0,paragliders,20192455
446867.03874642635,6874983.768018736,1469360640.0,paragliders,20194448
447672.5662684494,6874676.482498977,1469361536.0,paragliders,20194449
447679.63694565697,6874669.618714891,1469361536.0,paragliders,20194449
447683.214841123,6874637.961143356,1469361536.0,paragliders,20194449
448135.82953514747,6874839.105295407,1469361664.0,paragliders,20194449
446841.80338400934,6874966.0901604965,1469360640.0,paragliders,20194453
447672.9649271829,6870021.549724504,1471350656.0,paragliders,20197705
446149.4658124176,6874123.387467155,1471874432.0,paragliders,20198455
449727.56781640707,6874685.196555313,1471875072.0,paragliders,20198455
447243.78442573716,6874068.095680343,1474633344.0,paragliders,20202752
445730.9128196622,6874496.150187175,1474634112.0,paragliders,20202752
446911.0018373474,6870182.240961279,1476189696.0,paragliders,20203236
446884.78092647315,6870134.0485561425,1492594816.0,paragliders,20211572
446938.1832100236,6870357.01125009,1492954880.0,paragliders,20212368
447019.6741750889,6870144.622167545,1492955776.0,paragliders,20212685
446424.374721723,6874810.011360202,1494764928.0,paragliders,20213825
446141.27791625046,6874288.023942237,1494760064.0,paragliders,20213976
446882.56660842866,6874353.140760741,1494772224.0,paragliders,20213982
447865.9340296643,6874661.144712683,1496573440.0,paragliders,20217458
446576.09786846966,6874791.792876876,1496573184.0,paragliders,20217473
446640.88682757976,6874781.580859251,1496573184.0,paragliders,20217473
446746.00972698134,6874832.548138715,1496573184.0,paragliders,20217473
447803.906833467,6874727.897185604,1496573549.9302824,paragliders,20217484
446469.52535898617,6874728.309638915,1496573184.0,paragliders,20217497
447728.5273630471,6870007.202388213,1497700608.0,paragliders,20218817
445291.33462508046,6872600.641179344,1497703936.0,paragliders,20218817
446523.4060292309,6870197.410617341,1497786496.0,paragliders,20218910
447142.8033462811,6874831.455465776,1498229504.0,paragliders,20219690
