configuration,window_s,cell,component,point,low,high,se
site_day,10_10000,alt0_open_beginners,altitude,0.007525380771875367,0.003652104205384709,0.010812087033040168,0.00216615909082589
site_day,10_10000,alt0_open_beginners,circuit,0.041173627113205824,0.039911663357836046,0.0426333689998307,0.0008308244276221946
site_day,10_10000,alt0_open_beginners,equipment,-0.007723140782947224,-0.009005211709222366,-0.006439852258131562,0.0007770195649540609
site_day,10_10000,alt0_open_beginners,altitude_circuit,0.02382110231277823,0.020526409986009048,0.027529775051160693,0.0021505114313749045
site_day,10_10000,alt0_open_beginners,altitude_equipment,0.001442169762407186,-0.002276684957306008,0.004892718569350479,0.0021687107768259004
site_day,10_10000,alt0_open_beginners,circuit_equipment,5.61638926692698e-05,-0.0010929158452149812,0.0013037625234135644,0.0007563821976512537
site_day,10_10000,alt0_open_beginners,three_way,0.0014002408713247316,-0.0020324086925000095,0.005149727249050334,0.002172420511169258
site_day,10_10000,alt0_open_experts,altitude,0.007525380771875367,0.003652104205384709,0.010812087033040168,0.00216615909082589
site_day,10_10000,alt0_open_experts,circuit,0.041173627113205824,0.039911663357836046,0.0426333689998307,0.0008308244276221946
site_day,10_10000,alt0_open_experts,equipment,0.007723140782947335,0.006439852258131667,0.009005211709222471,0.0007770195649540694
site_day,10_10000,alt0_open_experts,altitude_circuit,0.02382110231277823,0.020526409986009048,0.027529775051160693,0.0021505114313749045
site_day,10_10000,alt0_open_experts,altitude_equipment,-0.001442169762407297,-0.004892718569350485,0.002276684957305889,0.002168710776825896
site_day,10_10000,alt0_open_experts,circuit_equipment,-5.61638926692698e-05,-0.0013037625234136709,0.0010929158452152865,0.0007563821976512642
site_day,10_10000,alt0_open_experts,three_way,-0.0014002408713248427,-0.00514972724905044,0.002032408692499998,0.002172420511169259
site_day,10_10000,alt0_closed_beginners,altitude,0.007525380771875367,0.003652104205384709,0.010812087033040168,0.00216615909082589
site_day,10_10000,alt0_closed_beginners,circuit,-0.04117362711320571,-0.0426333689998307,-0.03991166335783605,0.0008308244276221947
site_day,10_10000,alt0_closed_beginners,equipment,-0.007723140782947224,-0.009005211709222366,-0.006439852258131562,0.0007770195649540609
site_day,10_10000,alt0_closed_beginners,altitude_circuit,-0.02382110231277834,-0.02752977505116059,-0.020526409986008944,0.0021505114313749014
site_day,10_10000,alt0_closed_beginners,altitude_equipment,0.001442169762407186,-0.002276684957306008,0.004892718569350479,0.0021687107768259004
site_day,10_10000,alt0_closed_beginners,circuit_equipment,-5.6163892669602866e-05,-0.0013037625234136709,0.001092915845215392,0.0007563821976512635
site_day,10_10000,alt0_closed_beginners,three_way,-0.0014002408713245096,-0.005149727249050551,0.002032408692500109,0.0021724205111692536
site_day,10_10000,alt0_closed_experts,altitude,0.007525380771875367,0.003652104205384709,0.010812087033040168,0.00216615909082589
site_day,10_10000,alt0_closed_experts,circuit,-0.04117362711320571,-0.0426333689998307,-0.03991166335783605,0.0008308244276221947
site_day,10_10000,alt0_closed_experts,equipment,0.007723140782947335,0.006439852258131667,0.009005211709222471,0.0007770195649540694
site_day,10_10000,alt0_closed_experts,altitude_circuit,-0.02382110231277834,-0.02752977505116059,-0.020526409986008944,0.0021505114313749014
site_day,10_10000,alt0_closed_experts,altitude_equipment,-0.001442169762407297,-0.004892718569350485,0.002276684957305889,0.002168710776825896
site_day,10_10000,alt0_closed_experts,circuit_equipment,5.6163892669491844e-05,-0.00109291584521507,0.00130376252341347,0.0007563821976512609
site_day,10_10000,alt0_closed_experts,three_way,0.0014002408713245096,-0.002032408692500309,0.005149727249050229,0.0021724205111692536
site_day,10_10000,alt1_open_beginners,altitude,-0.000449754409719505,-0.0023422477482678674,0.0014609717361891224,0.0011518903044489153
site_day,10_10000,alt1_open_beginners,circuit,0.041173627113205824,0.039911663357836046,0.0426333689998307,0.0008308244276221946
site_day,10_10000,alt1_open_beginners,equipment,-0.007723140782947224,-0.009005211709222366,-0.006439852258131562,0.0007770195649540609
site_day,10_10000,alt1_open_beginners,altitude_circuit,0.02249146144651848,0.020524228574206566,0.024376910896819984,0.001143205802147648
site_day,10_10000,alt1_open_beginners,altitude_equipment,0.0028559578983240463,0.0010681034661685293,0.00479822993655835,0.0011389070096955367
site_day,10_10000,alt1_open_beginners,circuit_equipment,5.61638926692698e-05,-0.0010929158452149812,0.0013037625234135644,0.0007563821976512537
site_day,10_10000,alt1_open_beginners,three_way,-0.004196452258376726,-0.006036764370968145,-0.002352314518542965,0.001146483527312552
site_day,10_10000,alt1_open_experts,altitude,-0.000449754409719505,-0.0023422477482678674,0.0014609717361891224,0.0011518903044489153
site_day,10_10000,alt1_open_experts,circuit,0.041173627113205824,0.039911663357836046,0.0426333689998307,0.0008308244276221946
site_day,10_10000,alt1_open_experts,equipment,0.007723140782947335,0.006439852258131667,0.009005211709222471,0.0007770195649540694
site_day,10_10000,alt1_open_experts,altitude_circuit,0.02249146144651848,0.020524228574206566,0.024376910896819984,0.001143205802147648
site_day,10_10000,alt1_open_experts,altitude_equipment,-0.0028559578983241574,-0.004798229936558252,-0.0010681034661686364,0.0011389070096955354
site_day,10_10000,alt1_open_experts,circuit_equipment,-5.61638926692698e-05,-0.0013037625234136709,0.0010929158452152865,0.0007563821976512642
site_day,10_10000,alt1_open_experts,three_way,0.004196452258376726,0.002352314518542975,0.006036764370967834,0.0011464835273125474
