configuration,window_s,cell,flights,groups,largest_group_fraction,size_balance_index,cells_point,cells_low,cells_high,cells_se,cells_sim_low,cells_sim_high,residual_point,residual_low,residual_high,residual_se,residual_sim_low,residual_sim_high,fit_rms_dex
site_day,10_10000,alt0_open_beginners,613,498,0.011419249592169658,373.1569016881827,0.9459583990156022,0.9441906848073702,0.9475728525243224,0.001024353492038949,0.9431618993340969,0.9487548986971075,0.026719676839179418,0.023370605213299367,0.03084978565225056,0.0023118907432690887,0.02065502084181968,0.03278433283653916,0.01625639925045167
site_day,10_10000,alt0_open_experts,890,662,0.010112359550561797,485.35539215686276,0.9556075315286942,0.9541768678481168,0.9570228720196039,0.0008563447365721209,0.9532696981521359,0.9579453649052524,0.02092252778637682,0.01722718199835771,0.025070098377960596,0.0023464434911439963,0.014767231463458916,0.027077824109294726,0.01406086118007507
site_day,10_10000,alt0_closed_beginners,90,87,0.022222222222222223,84.375,0.813056130635646,0.79894536474753,0.8248179232279045,0.007893930257472963,0.791505588149665,0.834606673121627,-0.023835337314365268,-0.03318565798524981,-0.015470427546801255,0.005351199887940313,-0.03787284604523986,-0.009797828583490672,0.11583707319488952
site_day,10_10000,alt0_closed_experts,65,64,0.03076923076923077,63.059701492537314,0.8285308822047142,0.8146154238449658,0.841071941296599,0.0081393745744726,0.8063102732234743,0.8507514911859541,-0.023806867311191637,-0.03323207267931118,-0.015006948192980474,0.005475149809411412,-0.03816952706263696,-0.009444207559746311,0.10011453934598893
site_day,10_10000,alt1_open_beginners,932,797,0.00536480686695279,663.0717557251909,0.932470717973963,0.9304000043346699,0.9345078238845417,0.0012589139227016232,0.929033864962538,0.9359075709853879,0.02120713097913507,0.018542052772641076,0.023812186760289827,0.001602731676828255,0.017002773007490403,0.025411488950779736,0.01039388534566837
site_day,10_10000,alt1_open_experts,1015,854,0.007881773399014778,662.524115755627,0.9504856604746242,0.9486148887095217,0.9522519117809138,0.0011081268269169061,0.9474604583909447,0.9535108625583038,0.023775791913901778,0.021446917329351185,0.026165169364267892,0.0014485133019913974,0.01997598653393145,0.027575597293872108,0.010962276469364169
site_day,10_10000,alt1_closed_beginners,282,269,0.010638297872340425,256.5290322580645,0.8134211175859294,0.8072121921617734,0.8191704817927192,0.0036156225393854007,0.8035504163500612,0.8232918188217976,-0.015495215182486977,-0.019745728397722616,-0.011357251828408136,0.002583753372392677,-0.022273033481729966,-0.008717396883243989,0.13106551877869255
site_day,10_10000,alt1_closed_experts,489,448,0.010224948875255624,399.20033388981636,0.8148749066237608,0.8106795157168555,0.8187927951555679,0.0024827967580332583,0.8080968359703751,0.8216529772771466,-0.029487707710550093,-0.0328790720853987,-0.02599518492383985,0.0020735837536593436,-0.03492722607199117,-0.024048189349109017,0.1252940096256913
site_day,10_10000,alt2_open_beginners,4809,3574,0.0037429819089207735,2221.777404169469,0.8838435670067132,0.8821466946603598,0.8854359252651789,0.0010056984895716146,0.88109799574871,0.8865891382647164,-0.020554486410300665,-0.022860664961051776,-0.018563344705640788,0.0012889380987170396,-0.023935686924800893,-0.017173285895800437,0.033154570781682824
site_day,10_10000,alt2_open_experts,2312,1960,0.0025951557093425604,1604.2448979591836,0.9065124268925068,0.9046096440329495,0.9083294162250378,0.0011421819235262498,0.9033942539080964,0.9096305998769172,-0.013331908090401634,-0.015725213779716484,-0.011277442874694593,0.0013338871572140458,-0.016831021001057777,-0.00983279517974549,0.020324938219375307
