x,y,utc,discipline,flight_id
442262.7149539989,6862716.949458363,1245673856.0,paragliders,20082573
440130.9400103717,6862250.585008589,1274441856.0,paragliders,20092346
441875.57754975953,6862536.180692179,1284292096.0,paragliders,20100179
440687.1264512007,6864488.652938345,1309783040.0,paragliders,20107063
443459.50918862375,6863055.851711111,1309528064.0,paragliders,20107104
441481.0553862501,6861638.025489038,1311939968.0,paragliders,20107638
444464.3848303179,6864051.864889712,1337171456.0,paragliders,20115007
444168.93833608134,6860934.161035453,1346762880.0,paragliders,20121263
444103.02504397766,6860873.096617935,1346763008.0,paragliders,20121271
442297.2741433088,6861318.088254411,1347717632.0,paragliders,20121919
442485.56049734604,6860690.358616056,1367146624.0,paragliders,20126855
442901.4544853174,6860578.413573214,1367149696.0,paragliders,20126945
443297.853046266,6863255.5843684,1370174848.0,paragliders,20128859
443212.85469567985,6864295.266828618,1370174592.0,paragliders,20128863
444278.25181342044,6861968.32163495,1370179456.0,paragliders,20128957
444654.09255629755,6864924.372194325,1373814144.0,paragliders,20131715
440201.49010389956,6860164.515336817,1373815296.0,paragliders,20131715
443916.3033363637,6861213.649517965,1370179712.0,paragliders,20131837
442800.2607065067,6864996.761223128,1377694720.0,paragliders,20135511
441149.1348916968,6860408.581340857,1378035200.0,paragliders,20135965
440828.1457303615,6860437.937825422,1378035072.0,paragliders,20136015
440819.14770965,6860357.139589518,1378035072.0,paragliders,20136015
440781.53872378136,6860361.806922997,1378035072.0,paragliders,20136015
440051.89765628346,6864067.366138426,1400329856.0,paragliders,20144893
444617.9304207744,6862231.745793477,1406289792.0,paragliders,20150995
443007.3838955268,6861023.313639889,1406292992.0,paragliders,20151033
443022.5760257497,6860863.189228517,1427117184.0,paragliders,20158917
443301.0624326388,6863799.7968466105,1427115136.0,paragliders,20158953
443887.08130860847,6860079.933921377,1434296064.0,paragliders,20168131
443622.56872668513,6863954.10254495,1441545600.0,paragliders,20177069
442385.1176348883,6863665.935219806,1441543296.0,paragliders,20177094
440448.0909661773,6864352.114259771,1457790208.0,paragliders,20181220
441962.1496366889,6864416.736074748,1459511040.0,paragliders,20183023
441107.99476571835,6860992.154887312,1491481472.0,paragliders,20208758
441046.5667147976,6860944.755218309,1491481472.0,paragliders,20208758
441057.81496783585,6860950.639780788,1491481472.0,paragliders,20208758
441759.39312885626,6864561.874631376,1491909632.0,paragliders,20210537
441791.7944866411,6863782.568035554,1496236032.0,paragliders,20217036
442406.0029727622,6862517.14083977,1496246784.0,paragliders,20217065
442645.86332086363,6864363.509965731,1497711744.0,paragliders,20218835
442598.73738407803,6864206.481776724,1497711744.0,paragliders,20218835
442512.0424996397,6864196.593423224,1497711744.0,paragliders,20218835
440457.5926022939,6864737.305462297,1500293120.0,paragliders,20221681
441822.462218635,6860418.531050293,1521639808.0,paragliders,20230659
444233.2452391546,6864864.823088024,1521634816.0,paragliders,20230667
442717.5353099028,6860875.225529802,1525441152.0,paragliders,20237946
442299.603626249,6864928.645324431,1529494400.0,paragliders,20242042
440604.88105530944,6861761.653170618,1529494912.0,paragliders,20242042
441330.74073649023,6862013.879524965,1529495296.0,paragliders,20242171
442088.16317562794,6861547.843045593,1529504132.8265984,paragliders,20242171
442811.87704864086,6864763.014299758,1529505280.0,paragliders,20242171
442593.36382220034,6860893.608174818,1529670400.0,paragliders,20242503
443945.5326485762,6861467.308804334,1529840896.0,paragliders,20242735
443426.7286636337,6862208.832121186,1529838080.0,paragliders,20242768
443865.40443874313,6863830.037276692,1529839360.0,paragliders,20242879
