configuration,seed,contrast,point,low,high,se,se_ratio,contains_zero,site_day_contains_zero
calendar_1day_all_sites,20260921,open_closed,0.054301860094277066,0.05214679515984989,0.05667663165103619,0.001398355859077777,1.7117987693010484,False,False
calendar_1day_all_sites,20260921,experts_beginners,0.02467126426737687,0.02322631052016219,0.02606416085903156,0.0008409828679016517,1.1525245363564918,False,False
calendar_1day_all_sites,20260921,equipment_alt0,0.01311664624573572,0.010607558190813748,0.01562953284831852,0.0015225883061925796,1.076438835516515,False,False
calendar_1day_all_sites,20260921,alt0_alt1,0.021058841609085444,0.018735612073790882,0.023442892678343256,0.001464791383082623,1.1032982217904812,False,False
calendar_1day_all_sites,20260921,equipment_interaction_0_1,0.0005892996605817435,-0.003583689149508562,0.004986238509293388,0.002565919948736574,1.0353490779604324,True,True
calendar_1day_all_sites,20260921,alt0_alt2,0.0835440075579501,0.08145508133157632,0.08576420152806186,0.0013273873981599427,1.2709015069536043,False,False
calendar_1day_all_sites,20260921,equipment_interaction_0_2,-0.007539751394009309,-0.01055653840544436,-0.004418641770113835,0.0018532148878175941,1.0907477374947683,False,False
calendar_1day_all_sites,20260921,alt0_alt3,0.07448195415740744,0.07214363677924018,0.07684493364245003,0.0013883488634323668,1.378120083394562,False,False
calendar_1day_all_sites,20260921,equipment_interaction_0_3,-0.002628785998886496,-0.00548222206468893,0.00044189412158272985,0.0017526067883227201,1.0832910958318966,True,True
calendar_1day_all_sites,20260921,equipment_alt1,0.012527346585153976,0.008833194807707279,0.016057584828330668,0.0021868469868426654,1.0225825535050412,False,False
calendar_1day_all_sites,20260921,alt1_alt2,0.06248516594886466,0.05972666540975654,0.06531164264197062,0.0017527275146706615,1.2573131080494648,False,False
calendar_1day_all_sites,20260921,equipment_interaction_1_2,-0.008129051054591052,-0.012096652861651297,-0.004036014099857161,0.0024245024451198262,1.0260692020589597,False,False
calendar_1day_all_sites,20260921,alt1_alt3,0.053423112548321994,0.050415089149195895,0.05630499975287433,0.001826209762957097,1.3358411752605286,False,False
calendar_1day_all_sites,20260921,equipment_interaction_1_3,-0.0032180856594682394,-0.007047458650220245,0.0006605172229674047,0.0023622865037221307,1.0103253294147678,True,True
calendar_1day_all_sites,20260921,equipment_alt2,0.020656397639745028,0.018867732083594747,0.022391692407248903,0.0010543362744458956,1.0859122287944278,False,False
calendar_1day_all_sites,20260921,alt2_alt3,-0.009062053400542669,-0.01085702187476606,-0.007318885994019071,0.0010559831089916418,1.2583621875779805,False,False
calendar_1day_all_sites,20260921,equipment_interaction_2_3,0.004910965395122813,0.002804462048442652,0.007273600300988097,0.0013469607682227878,1.047565134656714,False,False
calendar_1day_all_sites,20260921,equipment_alt3,0.015745432244622215,0.014293528942718837,0.017168269156856923,0.0008833447858840988,1.0596355358121579,False,False
calendar_1day_all_sites,20260921,mountain_regions,0.03696487029079909,0.032584887028002725,0.04132261601684047,0.00267628280731584,1.1106117435186227,False,False
calendar_1day_all_sites,20260921,lowland_regions,-0.0020132836586727043,-0.005152957171752054,0.0012479558672461523,0.0019687684629314953,1.1767139062601375,True,True
calendar_1day_all_sites,20260921,circuit_altitude_open_minus_closed_0,0.12833368565036885,0.11838434272728454,0.13858756145573747,0.005803661999938131,1.0699021431943796,False,False
calendar_1day_all_sites,20260921,circuit_altitude_open_minus_closed_1,0.12880226891223145,0.12490568328152679,0.1326369276351865,0.0023468609768753598,1.0585097428133403,False,False
calendar_1day_all_sites,20260921,circuit_altitude_open_minus_closed_2,0.04769380668054535,0.04534024724783137,0.05037223960345757,0.0015073178499757879,1.3854596285116199,False,False
calendar_1day_all_sites,20260921,circuit_altitude_open_minus_closed_3,0.022741488193559256,0.020643108835516004,0.02479557646026701,0.0012603487524440987,1.3432495902719968,False,False
calendar_1day_all_sites,20260921,circuit_altitude_open_0_minus_2,0.05997638759911361,0.05782987864923015,0.062203081311467144,0.0012890838203098896,1.213456964250585,False,False
calendar_1day_all_sites,20260921,circuit_altitude_open_0_minus_3,0.06428534158053845,0.06216176272324187,0.0664847186697887,0.001317990643296352,1.2475691210603306,False,False
calendar_1day_all_sites,20260921,circuit_altitude_open_1_minus_2,0.05084594074416049,0.048536846210041215,0.053257053301469494,0.0014373822342233678,1.2064034930835863,False,False
calendar_1day_all_sites,20260921,circuit_altitude_open_1_minus_3,0.055154894725585324,0.052654461590257086,0.05759801312376381,0.0014938152616552854,1.2452769350541102,False,False
calendar_1day_all_sites,20260921,circuit_altitude_closed_0_minus_2,-0.020663491370709886,-0.030381022012440223,-0.011456850537469088,0.005628295615296447,1.0456217940080164,False,False
calendar_1day_all_sites,20260921,circuit_altitude_closed_0_minus_3,-0.04130685587627114,-0.051405737342674215,-0.03203796783527386,0.005869724343697758,1.089114488673196,False,False
calendar_1day_all_sites,20260921,circuit_altitude_closed_1_minus_2,-0.030262521487525618,-0.03401101121189269,-0.026676396555047607,0.002245454263945313,1.0686326462799824,False,False
calendar_1day_all_sites,20260921,circuit_altitude_closed_1_minus_3,-0.050905885993086875,-0.05463675574620206,-0.047280192661604395,0.0022836589566465467,1.0803957240268924,False,False
calendar_1day_all_sites,20260922,open_closed,0.054301860094277066,0.05199927720690283,0.056620173160947376,0.001381297250230738,1.6909164556605079,False,False
calendar_1day_all_sites,20260922,experts_beginners,0.02467126426737687,0.02338872048423582,0.026066543670340496,0.0008132337707804,1.114495800558604,False,False
calendar_1day_all_sites,20260922,equipment_alt0,0.01311664624573572,0.010896171819719696,0.015480471121371953,0.0014399843581368176,1.018039531323406,False,False
