discipline,circuit_type,altitude_band,control,lag_s,mean_m2,n_flights,n_clusters,pointwise_95_low_m2,pointwise_95_high_m2
paragliders,open,Plains,available segments,2155.0,232270333.31532562,6289,3965,227217341.2107655,237526515.33590186
paragliders,open,Plains,available segments,2429.0,297568084.1507977,5869,3726,290851006.9541863,304547756.4607661
paragliders,open,Plains,available segments,2739.0,381781440.3945997,5364,3451,372536293.3911561,391092581.1292757
paragliders,open,Plains,available segments,3088.0,492417753.88566357,4855,3151,480146550.8932422,504811366.20096904
paragliders,open,Plains,available segments,3481.0,639600539.1760027,4289,2815,623039804.4193622,656080660.6443603
paragliders,open,Plains,available segments,3925.0,839191821.7745084,3699,2439,816397140.0485505,862680347.0073986
paragliders,open,Plains,available segments,4425.0,1090499194.5192673,3140,2083,1058938072.896664,1122386364.850896
paragliders,open,Plains,available segments,4989.0,1429450647.7113283,2601,1747,1385534557.15107,1472705243.0177743
paragliders,open,Plains,available segments,5624.0,1864572404.247284,2123,1421,1803839811.7045643,1928340143.870088
paragliders,open,Plains,available segments,6341.0,2449999577.707497,1622,1107,2358925165.360343,2546088096.722471
paragliders,open,Plains,available segments,7149.0,3297988243.679354,1133,806,3150199774.801341,3452264871.988713
paragliders,open,Plains,available segments,8059.0,4494162699.555917,807,598,4268140851.5626965,4734845501.049204
paragliders,open,Plains,available segments,9086.0,6101912183.718636,548,410,5740531114.298369,6488333517.171635
paragliders,open,Plains,available segments,10000.0,7740828802.7410145,393,296,7245588115.31905,8257843143.074643
paragliders,open,Plains,fixed long segments,10.0,13499.975897791428,393,296,13011.79048806871,14021.667492066965
paragliders,open,Plains,fixed long segments,11.0,15894.6793980101,393,296,15289.004061457155,16554.0860575284
paragliders,open,Plains,fixed long segments,12.0,18032.991926586354,393,296,17316.09061956403,18808.895110226455
paragliders,open,Plains,fixed long segments,14.0,24926.916820729963,393,296,23915.91514628669,25986.707916621453
paragliders,open,Plains,fixed long segments,16.0,32041.34968889154,393,296,30714.102003601543,33381.07810150251
paragliders,open,Plains,fixed long segments,18.0,40742.79365458015,393,296,39066.500734522306,42434.03004986858
paragliders,open,Plains,fixed long segments,20.0,47751.482754850505,393,296,45741.11906711504,49832.444357827546
paragliders,open,Plains,fixed long segments,23.0,62804.677379035464,393,296,60072.72465800995,65624.84590270201
paragliders,open,Plains,fixed long segments,25.0,70648.85608500318,393,296,67553.00486863927,73970.41977348799
paragliders,open,Plains,fixed long segments,29.0,97176.92499105439,393,296,92902.12636992135,101652.75711737586
paragliders,open,Plains,fixed long segments,32.0,113545.70860170166,393,296,108443.19620699632,119002.50129846694
paragliders,open,Plains,fixed long segments,37.0,151657.07563016858,393,296,144681.87560650404,158986.07056479654
paragliders,open,Plains,fixed long segments,41.0,184605.8457279739,393,296,176227.03127091,193552.19882509578
paragliders,open,Plains,fixed long segments,46.0,232774.4715927163,393,296,222057.30491271458,243911.0420869419
paragliders,open,Plains,fixed long segments,52.0,289491.10524013994,393,296,276035.98438397166,304051.40947663237
paragliders,open,Plains,fixed long segments,59.0,377427.25995944656,393,296,359834.6500235909,395806.4805735333
