discipline,altitude_band,control,control_index,h_eff,slope,intercept_log_m2,h_eff_bootstrap_se,n_flights_min,n_clusters_min,n_lags,status,resamples,n_finite_resamples,requested_low_s,requested_high_s,actual_low_s,actual_high_s,ci95_low,ci95_high
paragliders,Plains,available segments,0,0.9098539796082977,1.8197079592165954,4.969975154890556,0.0007019175499281174,8692,5468,20,ok,2000,2000,10,100,10.0,95.0,0.9084641406745277,0.9112523939850342
paragliders,Plains,available segments,0,0.9308052777450372,1.8616105554900744,4.819241877048146,0.0007066553340679351,8639,5434,19,ok,2000,2000,100,1000,107.0,931.0,0.9293706392607084,0.9322005551111319
paragliders,Plains,available segments,0,1.094199585341123,2.188399170682246,2.4082728214939024,0.006104025547029896,417,319,20,ok,2000,2000,1000,10000,1049.0,10000.0,1.0821287469908816,1.1059790672507581
paragliders,Plains,fixed long segments,1,0.9441788912808307,1.8883577825616613,5.105580373344595,0.0018417368180663459,417,319,20,ok,2000,2000,10,100,10.0,95.0,0.940562453097148,0.947809229804291
paragliders,Plains,fixed long segments,1,0.9486214021073966,1.8972428042147933,5.09064674748233,0.0014276094591905942,417,319,19,ok,2000,2000,100,1000,107.0,931.0,0.9458694979973532,0.9514928507883088
paragliders,Plains,fixed long segments,1,0.9837102259490839,1.9674204518981677,4.596823772646157,0.0014999920877670082,417,319,20,ok,2000,2000,1000,10000,1049.0,10000.0,0.9807133126102114,0.9864440146189433
paragliders,Hills,available segments,0,0.9042144701630344,1.8084289403260687,4.8647221483956535,0.00043212141709321125,18163,13039,20,ok,2000,2000,10,100,10.0,95.0,0.90336611613285,0.9050425021912544
paragliders,Hills,available segments,0,0.9045703602235741,1.8091407204471481,4.907975662243633,0.0007540444203802889,18022,12950,19,ok,2000,2000,100,1000,107.0,931.0,0.903131786732157,0.9061250386479853
paragliders,Hills,available segments,0,1.1035254143587632,2.2070508287175263,1.8923739890181182,0.006989143774215946,514,434,20,ok,2000,2000,1000,10000,1049.0,10000.0,1.0895502932165468,1.116472431546488
paragliders,Hills,fixed long segments,1,0.9434439343523806,1.8868878687047612,5.078351630014547,0.0014119753922848984,514,434,20,ok,2000,2000,10,100,10.0,95.0,0.9404563619739323,0.9461190341844746
paragliders,Hills,fixed long segments,1,0.9422275384744933,1.8844550769489865,5.117380631300293,0.0015404101266598606,514,434,19,ok,2000,2000,100,1000,107.0,931.0,0.9391058427534319,0.9449916184240198
paragliders,Hills,fixed long segments,1,0.9656322654251742,1.9312645308503484,4.788125581049501,0.002528855734488581,514,434,20,ok,2000,2000,1000,10000,1049.0,10000.0,0.9604431387489324,0.9702794317337957
paragliders,Low mountains,available segments,0,0.9039046465573716,1.8078092931147431,4.770109681210667,0.00023910119509242044,78506,41244,20,ok,2000,2000,10,100,10.0,95.0,0.9034243375403918,0.9043708512883238
paragliders,Low mountains,available segments,0,0.868959227585075,1.73791845517015,5.146460761633593,0.00037136162359575816,78085,41036,19,ok,2000,2000,100,1000,107.0,931.0,0.8682302195820061,0.8696877073231444
paragliders,Low mountains,available segments,0,0.8935427823861161,1.7870855647722321,4.650367677347626,0.0026528202247920927,5452,3140,20,ok,2000,2000,1000,10000,1049.0,10000.0,0.8883164265239163,0.8985206065081053
paragliders,Low mountains,fixed long segments,1,0.9348915196672478,1.8697830393344956,4.781145960340489,0.00047853993834579586,5452,3140,20,ok,2000,2000,10,100,10.0,95.0,0.9339429446339601,0.9358072290568421
paragliders,Low mountains,fixed long segments,1,0.90568354109682,1.81136708219364,5.088803111933466,0.0005034927096027124,5452,3140,19,ok,2000,2000,100,1000,107.0,931.0,0.9046724110641348,0.9066429322878518
paragliders,Low mountains,fixed long segments,1,0.8108325492698877,1.6216650985397754,6.457166392111201,0.002098997818657841,5452,3140,20,ok,2000,2000,1000,10000,1049.0,10000.0,0.8068021991890196,0.8149162531036862
paragliders,High mountains,available segments,0,0.9095736260791675,1.819147252158335,4.800048972009015,0.0002817852015370662,49648,27265,20,ok,2000,2000,10,100,10.0,95.0,0.9090085591377074,0.910131381000474
paragliders,High mountains,available segments,0,0.8711423500579795,1.742284700115959,5.2106774528079,0.0004108098089856827,49412,27149,19,ok,2000,2000,100,1000,107.0,931.0,0.8703169991337105,0.8719700277429235
paragliders,High mountains,available segments,0,0.9061751534988015,1.812350306997603,4.591668182803167,0.001932454907856043,7982,4796,20,ok,2000,2000,1000,10000,1049.0,10000.0,0.9024111306402123,0.9100229739977794
paragliders,High mountains,fixed long segments,1,0.9381703434644859,1.8763406869289718,4.811729752614206,0.0003295881339218465,7982,4796,20,ok,2000,2000,10,100,10.0,95.0,0.9375149302860962,0.9388029575883143
paragliders,High mountains,fixed long segments,1,0.9056351829415782,1.8112703658831564,5.150723068827208,0.0003671008377368903,7982,4796,19,ok,2000,2000,100,1000,107.0,931.0,0.9048972718444902,0.9063350342964048
