discipline,statistic,days,offset_days,seed,archive_blocks,contributing_blocks,cohort_flights,flights_per_block_median,flights_per_block_p95,largest_block_fraction,size_balance_index,point,se,se_monte_carlo,low,high,valid_replicates,invalid_replicates,se_ratio
para,msd_100,1,0,20260918,6086,3642,46273,4.0,57.94999999999982,0.005597216519352538,829.5519419512533,614697.1473775379,2396.0045215497694,52.58439630615399,610834.3865885527,618848.4503124942,1000,0,1.6534320974618082
para,msd_1000,1,0,20260918,6086,3642,46273,4.0,57.94999999999982,0.005597216519352538,829.5519419512533,38415664.97888111,230406.00233728814,5073.817557058731,38038924.04889597,38823600.67728441,1000,0,1.6565839987736837
para,msd_10000,1,0,20260918,6086,3642,46273,4.0,57.94999999999982,0.005597216519352538,829.5519419512533,1444562811.0101764,22063309.628657144,502675.13164822606,1411335924.780979,1483201165.1500745,1000,0,1.4046737908371194
para,hurst,1,0,20260918,6086,3642,46273,4.0,57.94999999999982,0.005597216519352538,829.5519419512533,0.8822765078884933,0.0007368312634435882,1.6692126507288117e-05,0.8811685460432178,0.8835327778295574,1000,0,1.4217401688694713
para,msd_100,1,0,20260919,6086,3642,46273,4.0,57.94999999999982,0.005597216519352538,829.5519419512533,614697.1473775379,2475.7899876951287,56.427057340143385,610602.9999488108,618856.9720273318,1000,0,1.708490361938856
para,msd_1000,1,0,20260919,6086,3642,46273,4.0,57.94999999999982,0.005597216519352538,829.5519419512533,38415664.97888111,240556.3017668082,5498.356701425386,38016374.33119012,38821287.30482597,1000,0,1.7295631028210237
para,msd_10000,1,0,20260919,6086,3642,46273,4.0,57.94999999999982,0.005597216519352538,829.5519419512533,1444562811.0101764,22861121.477393515,515142.1800205613,1409173445.33838,1484580160.5265195,1000,0,1.4554669588976221
para,hurst,1,0,20260919,6086,3642,46273,4.0,57.94999999999982,0.005597216519352538,829.5519419512533,0.8822765078884933,0.0007729116812816521,1.752170696938979e-05,0.8810363494209088,0.8836282676592936,1000,0,1.491358522344639
para,msd_100,2,0,20260918,3438,2413,46273,5.0,90.0,0.007736693103969918,547.5564632380901,614697.1473775363,2706.6412971456834,57.73140580505883,610229.2823568017,619102.3051546612,1000,0,1.8677959731568803
para,msd_1000,2,0,20260918,3438,2413,46273,5.0,90.0,0.007736693103969918,547.5564632380901,38415664.97888111,256098.39831779728,5428.02327353302,37995701.7450971,38826051.85545919,1000,0,1.8413084054285216
para,msd_10000,2,0,20260918,3438,2413,46273,5.0,90.0,0.007736693103969918,547.5564632380901,1444562811.010176,25033204.77255572,580987.7117527849,1403837891.7456567,1486019915.7458389,1000,0,1.5937539397532308
para,hurst,2,0,20260918,3438,2413,46273,5.0,90.0,0.007736693103969918,547.5564632380901,0.8822765078884934,0.0008343303004405375,1.9590458151690943e-05,0.8809107301291221,0.8836091119791774,1000,0,1.6098677690432472
para,msd_100,2,0,20260919,3438,2413,46273,5.0,90.0,0.007736693103969918,547.5564632380901,614697.1473775363,2609.2616134277487,59.21064627106495,610405.2906957201,619022.5007940576,1000,0,1.8005963108641863
para,msd_1000,2,0,20260919,3438,2413,46273,5.0,90.0,0.007736693103969918,547.5564632380901,38415664.97888111,251807.68750470437,5626.931479976485,37994552.22455347,38831918.51301793,1000,0,1.8104588494090141
para,msd_10000,2,0,20260919,3438,2413,46273,5.0,90.0,0.007736693103969918,547.5564632380901,1444562811.010176,25115215.588444006,592321.338842661,1403406267.6843495,1486328520.997725,1000,0,1.5989752073500838
para,hurst,2,0,20260919,3438,2413,46273,5.0,90.0,0.007736693103969918,547.5564632380901,0.8822765078884934,0.0008399473059126604,1.9740550538623693e-05,0.8808056218092161,0.8836258598163638,1000,0,1.6207059659340177
para,msd_100,2,1,20260918,3434,2368,46273,5.0,88.65000000000009,0.008687571586022087,535.3946725343968,614697.1473775362,2650.3007415561287,59.027514779124765,610160.2162899845,619116.5798034968,1000,0,1.8289165461095778
para,msd_1000,2,1,20260918,3434,2368,46273,5.0,88.65000000000009,0.008687571586022087,535.3946725343968,38415664.97888108,253793.32999817087,5720.712254662903,37987989.71891497,38853588.690505035,1000,0,1.8247353159445794
para,msd_10000,2,1,20260918,3434,2368,46273,5.0,88.65000000000009,0.008687571586022087,535.3946725343968,1444562811.0101771,24689032.659072977,571666.9898267998,1406344779.2888565,1487505785.6369298,1000,0,1.5718420164976963
para,hurst,2,1,20260918,3434,2368,46273,5.0,88.65000000000009,0.008687571586022087,535.3946725343968,0.8822765078884934,0.0008289277354509815,1.9267062316752744e-05,0.8809500704113434,0.8836638879846084,1000,0,1.599443342119935
para,msd_100,2,1,20260919,3434,2368,46273,5.0,88.65000000000009,0.008687571586022087,535.3946725343968,614697.1473775362,2763.4645471532654,62.41832258665185,610233.2090653164,619502.3612610464,1000,0,1.9070084974236803
para,msd_1000,2,1,20260919,3434,2368,46273,5.0,88.65000000000009,0.008687571586022087,535.3946725343968,38415664.97888108,262563.32646119205,5923.678694664804,37985608.89880858,38867491.10173216,1000,0,1.8877902522854957
para,msd_10000,2,1,20260919,3434,2368,46273,5.0,88.65000000000009,0.008687571586022087,535.3946725343968,1444562811.0101771,25920893.753747195,578302.551903551,1403634769.7462444,1487789660.765548,1000,0,1.6502691891551158
