configuration,window_s,contrast,point,low,high,se,sim_low,sim_high
site_day,10_10000,circuit_alt0_beginners,0.13290226837995622,0.12100362709312966,0.14694515896808907,0.007940065900649084,0.11140170520172986,0.1544028315581826
site_day,10_10000,circuit_alt0_experts,0.12707664932398,0.11426988447852401,0.14119263782407074,0.008190839063556698,0.10489702827646591,0.14925627037149408
site_day,10_10000,circuit_alt1_beginners,0.11904960038803358,0.11277905345249573,0.12550998780307301,0.003846908914402417,0.1086327210837661,0.12946647969230107
site_day,10_10000,circuit_alt1_experts,0.1356107538508634,0.1311370637170378,0.14025473841013975,0.0027292412080526904,0.12822035888983938,0.14300114881188744
site_day,10_10000,circuit_alt2_beginners,0.048601292064439305,0.04625997044818221,0.05059147599347048,0.001295222931704987,0.045094013558005984,0.05210857057087263
site_day,10_10000,circuit_alt2_experts,0.04832042738698006,0.04586711691047013,0.050644491575802655,0.0014492348655354825,0.04439610658455614,0.05224474818940398
site_day,10_10000,circuit_alt3_beginners,0.029285167214572305,0.0274493962823066,0.031151753086378013,0.0011305210276996928,0.026223877914897397,0.03234645651424721
site_day,10_10000,circuit_alt3_experts,0.01793187520246775,0.01566108123733161,0.020070950332726156,0.00135311254111993,0.014267839910868822,0.02159591049406668
site_day,10_10000,equipment_alt0_open,0.009649132513091963,0.007724295068765608,0.011480224598972116,0.0011327155485899123,0.006581900764621732,0.012716364261562193
site_day,10_10000,equipment_alt0_closed,0.01547475156906819,-0.0026664165732307077,0.03458708411039319,0.011322078210431429,-0.015183817379622912,0.04613332051775929
site_day,10_10000,equipment_alt1_open,0.01801494250066127,0.015359913563551226,0.02058233825629615,0.0015936105735327435,0.013699672924003304,0.022330212077319233
site_day,10_10000,equipment_alt1_closed,0.0014537890378314433,-0.00555256660332531,0.00860348357083407,0.0042958141805769946,-0.010178661542190312,0.013086239617853199
site_day,10_10000,equipment_alt2_open,0.02266885988579359,0.020325191478138643,0.02488641532175631,0.0013644019625236189,0.018974254455209318,0.026363465316377864
site_day,10_10000,equipment_alt2_closed,0.022949724563252838,0.021347329806579635,0.024592706145783415,0.0009985926628080898,0.020245678412418814,0.025653770714086862
site_day,10_10000,equipment_alt3_open,0.011002880222677147,0.008873433452236606,0.013193328996859372,0.0013030895564096132,0.007474300021323716,0.014531460424030578
site_day,10_10000,equipment_alt3_closed,0.0223561722347817,0.020792944793487318,0.024066816256376404,0.0009909500807142575,0.019672821103511658,0.025039523366051746
site_day,10_10000,attenuation_beginners,0.10361710116538392,0.09147600185013477,0.11788788034096423,0.007995001210160332,0.08196778102372158,0.12526642130704624
site_day,10_10000,attenuation_experts,0.10914477412151224,0.09610890557934475,0.12377297119048117,0.0083309532833467,0.08658574380051637,0.13170380444250812
site_day,10_10000,attenuation_experts_minus_beginners,0.005527672956128327,-0.013860053487015508,0.02419332424304389,0.011513620525069636,-0.02564956519363903,0.03670491110589569
site_day,10_100,circuit_alt0_beginners,0.025647286622056953,0.017344559490773404,0.0346519999851268,0.005113437964020549,0.011893177148977007,0.0394013960951369
site_day,10_100,circuit_alt0_experts,0.033028241473831876,0.025589983964229866,0.04089618538578831,0.004644379210781937,0.02053580477095948,0.04552067817670427
site_day,10_100,circuit_alt1_beginners,0.01695822944531722,0.01324801365639643,0.020695380800217145,0.0022542229549356524,0.01089482757810526,0.023021631312529177
site_day,10_100,circuit_alt1_experts,0.02995641163940488,0.02724600822815058,0.032631133542268986,0.0016334405038232647,0.02556278847130776,0.034350034807502
site_day,10_100,circuit_alt2_beginners,-0.0008275904792348632,-0.0018140700902947783,0.00023283922817367452,0.0006190233310023321,-0.0024926375025690964,0.0008374565440993703
site_day,10_100,circuit_alt2_experts,-0.0025719298047185424,-0.0037089486158978944,-0.0015459722608757945,0.0006802920852110353,-0.0044017773318615954,-0.0007420822775754895
site_day,10_100,circuit_alt3_beginners,-0.0012268972465180328,-0.0023085902970514383,-0.00021861409262434215,0.0006202756270716455,-0.002895312691910231,0.00044151819887416574
site_day,10_100,circuit_alt3_experts,-0.006539266408112754,-0.007801821778007595,-0.005377811352414719,0.000729938356974007,-0.008502652322063826,-0.004575880494161681
site_day,10_100,equipment_alt0_open,0.01689878498345032,0.01452841444519649,0.0192016660177713,0.0014665986954674598,0.01295393239064108,0.020843637576259563
site_day,10_100,equipment_alt0_closed,0.009517830131675398,-0.0011224595869883342,0.019980331876919215,0.006551954036696005,-0.00810559538309296,0.027141255646443756
site_day,10_100,equipment_alt1_open,0.01907920132994334,0.016873312289121478,0.021514957498575387,0.001397999502782379,0.015318866631473358,0.02283953602841332
site_day,10_100,equipment_alt1_closed,0.006081019135855681,0.00218675778425898,0.010212060166759062,0.00240050260001927,-0.00037584526406322146,0.012537883535774584
site_day,10_100,equipment_alt2_open,0.014538846094186209,0.013373668634265878,0.015736156202083205,0.0007345915366204492,0.012562944072147897,0.01651474811622452
site_day,10_100,equipment_alt2_closed,0.016283185419669888,0.01544739674869971,0.017100974263631774,0.0004995347728143338,0.014939538347144093,0.017626832492195682
site_day,10_100,equipment_alt3_open,0.01106945492072775,0.009867718598528696,0.01225281242765946,0.0007387543755808789,0.009082355707448746,0.013056554134006755
site_day,10_100,equipment_alt3_closed,0.01638182408232247,0.015522675350396864,0.017234584010467506,0.0005126680044486401,0.015002851284344532,0.01776079688030041
site_day,10_100,attenuation_beginners,0.026874183868574986,0.018536930383432793,0.035942640149697815,0.00516800304471315,0.012973305411783077,0.040775062325366894
site_day,10_100,attenuation_experts,0.03956750788194463,0.03215275883420435,0.04730679443781377,0.004736651841255718,0.026826876545669946,0.052308139218219314
site_day,10_100,attenuation_experts_minus_beginners,0.012693324013369645,0.0019085646345843755,0.023687496354638803,0.00676209559216881,-0.005495339601313723,0.030881987628053012
site_day,100_1000,circuit_alt0_beginners,0.07803593547485732,0.0692690268953013,0.08893677466787736,0.006024495815226341,0.06166959538061394,0.0944022755691007
site_day,100_1000,circuit_alt0_experts,0.07938275412077511,0.06974457802488779,0.08949622458224324,0.005920780126636923,0.06329817141912097,0.09546733682242925
site_day,100_1000,circuit_alt1_beginners,0.058521654833720516,0.05357105987939282,0.0636251404054589,0.003063906130523971,0.05019814838820917,0.06684516127923186
site_day,100_1000,circuit_alt1_experts,0.07901133670109528,0.07565355516986969,0.08251845829791352,0.0021333997649260546,0.07321567393019386,0.0848069994719967
site_day,100_1000,circuit_alt2_beginners,0.012434044031939928,0.011058857015087424,0.013675323154999941,0.0007950681847709659,0.010274136097870678,0.014593951966009178
site_day,100_1000,circuit_alt2_experts,0.015234527367372075,0.013589783357550983,0.016730071476464936,0.0009633079436682766,0.012617573865352099,0.01785148086939205
site_day,100_1000,circuit_alt3_beginners,0.008227638463560671,0.006803006623222624,0.009483205585685767,0.0008189589142781007,0.0060028282013621335,0.01045244872575921
site_day,100_1000,circuit_alt3_experts,0.0029726355807430105,0.0013574258792554861,0.004523705934075078,0.0009600680035781795,0.00036448380471402683,0.005580787356771994
site_day,100_1000,equipment_alt0_open,0.00892007510579984,0.006852219117798403,0.010988271120665215,0.001229473262073813,0.005580048295087737,0.012260101916511945
site_day,100_1000,equipment_alt0_closed,0.0075732564598820495,-0.004974092385661739,0.02200490010651235,0.008124205040578767,-0.014497221596294178,0.029643734516058277
site_day,100_1000,equipment_alt1_open,0.01701969625519839,0.014313466917641288,0.01966274611206376,0.0016268219919172192,0.012600219039325952,0.02143917347107083
site_day,100_1000,equipment_alt1_closed,-0.003469985612176374,-0.008707795008142633,0.0017510777867406444,0.0031759366759826686,-0.012097837859254477,0.005157866634901729
site_day,100_1000,equipment_alt2_open,0.013497287491341603,0.011923225958031936,0.014979505674938247,0.0009488084753086709,0.01091972371381264,0.016074851268870566
site_day,100_1000,equipment_alt2_closed,0.010696804155909456,0.009669606698590854,0.011652133265291053,0.0006189494911225323,0.009015345958649565,0.012378262353169347
