discipline,statistic,side_km,shift_x_km,shift_y_km,months,month_offset,pool_terrain,config_index,seed,rng_seed,replicate_key,groups,flights,singleton_groups,singleton_group_fraction,flights_in_singletons_fraction,flights_per_group_median,flights_per_group_p95,largest_group_flights,largest_group_fraction,size_balance_index,years_per_group_median,groups_with_multiple_years,archive_groups,unknown_archive_flights,point,se,se_monte_carlo,low,high,valid_replicates,invalid_replicates,se_ratio_site_day,se_ratio_grid
para,msd_100,50,0.0,0.0,1,0,False,0,20260918,3104056205,config_0_seed_20260918,1901,46273,636,0.3345607574960547,0.013744516240572257,3.0,91.0,2056,0.04443195816134679,94.81734181072255,2.0,1125,3836,3,614697.1473775358,5297.009563104241,119.08221384164692,606708.045862308,624562.2147158177,1000,0,3.6553543841118237,0.9856904514720664
para,msd_1000,50,0.0,0.0,1,0,False,0,20260918,3104056205,config_0_seed_20260918,1901,46273,636,0.3345607574960547,0.013744516240572257,3.0,91.0,2056,0.04443195816134679,94.81734181072255,2.0,1125,3836,3,38415664.9788811,486946.0794395582,11287.573439659765,37707382.57082498,39311403.60914409,1000,0,3.5010680072660714,0.9887654400387955
para,msd_10000,50,0.0,0.0,1,0,False,0,20260918,3104056205,config_0_seed_20260918,1901,46273,636,0.3345607574960547,0.013744516240572257,3.0,91.0,2056,0.04443195816134679,94.81734181072255,2.0,1125,3836,3,1444562811.0101752,66472095.087130055,1563374.887194416,1346198112.118418,1568475195.4311335,1000,0,4.231985652308836,0.991154947172689
para,hurst,50,0.0,0.0,1,0,False,0,20260918,3104056205,config_0_seed_20260918,1901,46273,636,0.3345607574960547,0.013744516240572257,3.0,91.0,2056,0.04443195816134679,94.81734181072255,2.0,1125,3836,3,0.8822765078884939,0.0020570624827948606,4.728437028858241e-05,0.8791443884334211,0.8859722440536055,1000,0,3.9691697499311216,0.9903007952083601
para,msd_100,50,0.0,0.0,1,0,False,0,20260919,2714469867,config_0_seed_20260919,1901,46273,636,0.3345607574960547,0.013744516240572257,3.0,91.0,2056,0.04443195816134679,94.81734181072255,2.0,1125,3836,3,614697.1473775358,5450.805950769292,124.48612347626218,605958.8753992454,624039.0388130754,1000,0,3.7614860218245085,1.0143095485279334
para,msd_1000,50,0.0,0.0,1,0,False,0,20260919,2714469867,config_0_seed_20260919,1901,46273,636,0.3345607574960547,0.013744516240572257,3.0,91.0,2056,0.04443195816134679,94.81734181072255,2.0,1125,3836,3,38415664.9788811,498011.6460660019,10945.760580039492,37614529.31211904,39263821.22695577,1000,0,3.580627742797163,1.0112345599612043
para,msd_10000,50,0.0,0.0,1,0,False,0,20260919,2714469867,config_0_seed_20260919,1901,46273,636,0.3345607574960547,0.013744516240572257,3.0,91.0,2056,0.04443195816134679,94.81734181072255,2.0,1125,3836,3,1444562811.0101752,67658487.1729787,1535016.4432830114,1341948479.8134031,1563803405.973503,1000,0,4.30751801335061,1.008845052827311
para,hurst,50,0.0,0.0,1,0,False,0,20260919,2714469867,config_0_seed_20260919,1901,46273,636,0.3345607574960547,0.013744516240572257,3.0,91.0,2056,0.04443195816134679,94.81734181072255,2.0,1125,3836,3,0.8822765078884939,0.002097357048620446,4.647965708615734e-05,0.8790045339803052,0.8857847128084785,1000,0,4.046919440618311,1.0096992047916398
para,msd_100,50,25.0,0.0,1,0,False,1,20260918,366913783,config_1_seed_20260918,1947,46273,650,0.33384694401643555,0.014047068484861583,3.0,83.69999999999982,2008,0.04339463618092624,94.22828637234764,2.0,1152,3967,3,614697.1473775362,5335.027366960099,122.46103296759284,606048.354991025,623467.9732099741,1000,0,3.6815896673113833,0.9927649688578148
para,msd_1000,50,25.0,0.0,1,0,False,1,20260918,366913783,config_1_seed_20260918,1947,46273,650,0.33384694401643555,0.014047068484861583,3.0,83.69999999999982,2008,0.04339463618092624,94.22828637234764,2.0,1152,3967,3,38415664.97888111,483349.5823312529,10880.36004283979,37623139.16586423,39186974.83209065,1000,0,3.4752097418527743,0.9814625944137019
