epsg,ix,iy,x_min_m,y_min_m,x_max_m,y_max_m
32630,14,95,700000.0,4750000.0,750000.0,4800000.0
32630,14,100,700000.0,5000000.0,750000.0,5050000.0
32630,14,103,700000.0,5150000.0,750000.0,5200000.0
32630,14,104,700000.0,5200000.0,750000.0,5250000.0
32630,14,105,700000.0,5250000.0,750000.0,5300000.0
32630,14,107,700000.0,5350000.0,750000.0,5400000.0
32630,14,108,700000.0,5400000.0,750000.0,5450000.0
32630,14,109,700000.0,5450000.0,750000.0,5500000.0
32631,5,92,250000.0,4600000.0,300000.0,4650000.0
32631,5,93,250000.0,4650000.0,300000.0,4700000.0
32631,5,94,250000.0,4700000.0,300000.0,4750000.0
32631,5,95,250000.0,4750000.0,300000.0,4800000.0
32631,5,98,250000.0,4900000.0,300000.0,4950000.0
32631,5,100,250000.0,5000000.0,300000.0,5050000.0
32631,5,101,250000.0,5050000.0,300000.0,5100000.0
32631,5,102,250000.0,5100000.0,300000.0,5150000.0
32631,5,103,250000.0,5150000.0,300000.0,5200000.0
32631,5,109,250000.0,5450000.0,300000.0,5500000.0
32631,6,92,300000.0,4600000.0,350000.0,4650000.0
32631,6,93,300000.0,4650000.0,350000.0,4700000.0
32631,6,94,300000.0,4700000.0,350000.0,4750000.0
32631,6,95,300000.0,4750000.0,350000.0,4800000.0
32631,6,97,300000.0,4850000.0,350000.0,4900000.0
32631,6,98,300000.0,4900000.0,350000.0,4950000.0
32631,6,99,300000.0,4950000.0,350000.0,5000000.0
32631,6,102,300000.0,5100000.0,350000.0,5150000.0
32631,6,103,300000.0,5150000.0,350000.0,5200000.0
32631,6,108,300000.0,5400000.0,350000.0,5450000.0
32631,6,109,300000.0,5450000.0,350000.0,5500000.0
32631,6,110,300000.0,5500000.0,350000.0,5550000.0
32631,7,93,350000.0,4650000.0,400000.0,4700000.0
32631,7,94,350000.0,4700000.0,400000.0,4750000.0
32631,7,95,350000.0,4750000.0,400000.0,4800000.0
32631,7,97,350000.0,4850000.0,400000.0,4900000.0
32631,7,98,350000.0,4900000.0,400000.0,4950000.0
32631,7,99,350000.0,4950000.0,400000.0,5000000.0
32631,7,100,350000.0,5000000.0,400000.0,5050000.0
32631,7,102,350000.0,5100000.0,400000.0,5150000.0
32631,7,104,350000.0,5200000.0,400000.0,5250000.0
32631,7,105,350000.0,5250000.0,400000.0,5300000.0
32631,7,106,350000.0,5300000.0,400000.0,5350000.0
32631,7,108,350000.0,5400000.0,400000.0,5450000.0
32631,7,109,350000.0,5450000.0,400000.0,5500000.0
32631,7,110,350000.0,5500000.0,400000.0,5550000.0
32631,7,111,350000.0,5550000.0,400000.0,5600000.0
32631,8,93,400000.0,4650000.0,450000.0,4700000.0
32631,8,94,400000.0,4700000.0,450000.0,4750000.0
32631,8,95,400000.0,4750000.0,450000.0,4800000.0
32631,8,96,400000.0,4800000.0,450000.0,4850000.0
32631,8,97,400000.0,4850000.0,450000.0,4900000.0
32631,8,98,400000.0,4900000.0,450000.0,4950000.0
32631,8,99,400000.0,4950000.0,450000.0,5000000.0
32631,8,100,400000.0,5000000.0,450000.0,5050000.0
32631,8,102,400000.0,5100000.0,450000.0,5150000.0
32631,8,104,400000.0,5200000.0,450000.0,5250000.0
32631,8,105,400000.0,5250000.0,450000.0,5300000.0
32631,8,106,400000.0,5300000.0,450000.0,5350000.0
32631,8,107,400000.0,5350000.0,450000.0,5400000.0
32631,8,108,400000.0,5400000.0,450000.0,5450000.0
32631,8,109,400000.0,5450000.0,450000.0,5500000.0
32631,8,110,400000.0,5500000.0,450000.0,5550000.0
32631,8,112,400000.0,5600000.0,450000.0,5650000.0
32631,9,93,450000.0,4650000.0,500000.0,4700000.0
32631,9,94,450000.0,4700000.0,500000.0,4750000.0
32631,9,95,450000.0,4750000.0,500000.0,4800000.0
32631,9,96,450000.0,4800000.0,500000.0,4850000.0
32631,9,97,450000.0,4850000.0,500000.0,4900000.0
32631,9,98,450000.0,4900000.0,500000.0,4950000.0
32631,9,99,450000.0,4950000.0,500000.0,5000000.0
32631,9,100,450000.0,5000000.0,500000.0,5050000.0
32631,9,101,450000.0,5050000.0,500000.0,5100000.0
32631,9,102,450000.0,5100000.0,500000.0,5150000.0
32631,9,103,450000.0,5150000.0,500000.0,5200000.0
32631,9,104,450000.0,5200000.0,500000.0,5250000.0
32631,9,105,450000.0,5250000.0,500000.0,5300000.0
32631,9,106,450000.0,5300000.0,500000.0,5350000.0
32631,9,107,450000.0,5350000.0,500000.0,5400000.0
32631,9,111,450000.0,5550000.0,500000.0,5600000.0
32631,10,88,500000.0,4400000.0,550000.0,4450000.0
32631,10,96,500000.0,4800000.0,550000.0,4850000.0
32631,10,97,500000.0,4850000.0,550000.0,4900000.0
32631,10,98,500000.0,4900000.0,550000.0,4950000.0
32631,10,99,500000.0,4950000.0,550000.0,5000000.0
32631,10,100,500000.0,5000000.0,550000.0,5050000.0
32631,10,101,500000.0,5050000.0,550000.0,5100000.0
32631,10,102,500000.0,5100000.0,550000.0,5150000.0
32631,10,104,500000.0,5200000.0,550000.0,5250000.0
32631,10,106,500000.0,5300000.0,550000.0,5350000.0
32631,10,108,500000.0,5400000.0,550000.0,5450000.0
32631,10,109,500000.0,5450000.0,550000.0,5500000.0
32631,10,111,500000.0,5550000.0,550000.0,5600000.0
32631,11,97,550000.0,4850000.0,600000.0,4900000.0
32631,11,98,550000.0,4900000.0,600000.0,4950000.0
32631,11,99,550000.0,4950000.0,600000.0,5000000.0
32631,11,100,550000.0,5000000.0,600000.0,5050000.0
32631,11,101,550000.0,5050000.0,600000.0,5100000.0
32631,11,103,550000.0,5150000.0,600000.0,5200000.0
32631,11,105,550000.0,5250000.0,600000.0,5300000.0
32631,11,106,550000.0,5300000.0,600000.0,5350000.0
32631,11,107,550000.0,5350000.0,600000.0,5400000.0
32631,11,108,550000.0,5400000.0,600000.0,5450000.0
32631,11,109,550000.0,5450000.0,600000.0,5500000.0
32631,12,80,600000.0,4000000.0,650000.0,4050000.0
32631,12,97,600000.0,4850000.0,650000.0,4900000.0
32631,12,98,600000.0,4900000.0,650000.0,4950000.0
32631,12,99,600000.0,4950000.0,650000.0,5000000.0
32631,12,100,600000.0,5000000.0,650000.0,5050000.0
32631,12,101,600000.0,5050000.0,650000.0,5100000.0
32631,12,102,600000.0,5100000.0,650000.0,5150000.0
32631,12,103,600000.0,5150000.0,650000.0,5200000.0
32631,12,104,600000.0,5200000.0,650000.0,5250000.0
32631,12,105,600000.0,5250000.0,650000.0,5300000.0
32631,12,106,600000.0,5300000.0,650000.0,5350000.0
32631,12,109,600000.0,5450000.0,650000.0,5500000.0
32631,12,110,600000.0,5500000.0,650000.0,5550000.0
32631,12,111,600000.0,5550000.0,650000.0,5600000.0
32631,13,80,650000.0,4000000.0,700000.0,4050000.0
32631,13,96,650000.0,4800000.0,700000.0,4850000.0
32631,13,97,650000.0,4850000.0,700000.0,4900000.0
32631,13,98,650000.0,4900000.0,700000.0,4950000.0
32631,13,99,650000.0,4950000.0,700000.0,5000000.0
32631,13,100,650000.0,5000000.0,700000.0,5050000.0
32631,13,101,650000.0,5050000.0,700000.0,5100000.0
32631,13,102,650000.0,5100000.0,700000.0,5150000.0
32631,13,103,650000.0,5150000.0,700000.0,5200000.0
32631,13,104,650000.0,5200000.0,700000.0,5250000.0
32631,13,106,650000.0,5300000.0,700000.0,5350000.0
32631,13,107,650000.0,5350000.0,700000.0,5400000.0
32631,13,108,650000.0,5400000.0,700000.0,5450000.0
32631,13,109,650000.0,5450000.0,700000.0,5500000.0
32631,13,111,650000.0,5550000.0,700000.0,5600000.0
32631,13,112,650000.0,5600000.0,700000.0,5650000.0
32631,14,95,700000.0,4750000.0,750000.0,4800000.0
32631,14,96,700000.0,4800000.0,750000.0,4850000.0
32631,14,97,700000.0,4850000.0,750000.0,4900000.0
32631,14,98,700000.0,4900000.0,750000.0,4950000.0
32631,14,99,700000.0,4950000.0,750000.0,5000000.0
32631,14,100,700000.0,5000000.0,750000.0,5050000.0
32631,14,101,700000.0,5050000.0,750000.0,5100000.0
32631,14,102,700000.0,5100000.0,750000.0,5150000.0
32631,14,103,700000.0,5150000.0,750000.0,5200000.0
32631,14,104,700000.0,5200000.0,750000.0,5250000.0
32631,14,106,700000.0,5300000.0,750000.0,5350000.0
32631,14,107,700000.0,5350000.0,750000.0,5400000.0
32631,14,108,700000.0,5400000.0,750000.0,5450000.0
32631,14,109,700000.0,5450000.0,750000.0,5500000.0
32631,14,111,700000.0,5550000.0,750000.0,5600000.0
32632,5,96,250000.0,4800000.0,300000.0,4850000.0
32632,5,97,250000.0,4850000.0,300000.0,4900000.0
32632,5,98,250000.0,4900000.0,300000.0,4950000.0
32632,5,99,250000.0,4950000.0,300000.0,5000000.0
32632,5,100,250000.0,5000000.0,300000.0,5050000.0
32632,5,101,250000.0,5050000.0,300000.0,5100000.0
32632,5,102,250000.0,5100000.0,300000.0,5150000.0
32632,5,103,250000.0,5150000.0,300000.0,5200000.0
32632,5,104,250000.0,5200000.0,300000.0,5250000.0
32632,5,105,250000.0,5250000.0,300000.0,5300000.0
32632,5,107,250000.0,5350000.0,300000.0,5400000.0
32632,5,108,250000.0,5400000.0,300000.0,5450000.0
32632,5,109,250000.0,5450000.0,300000.0,5500000.0
32632,5,110,250000.0,5500000.0,300000.0,5550000.0
32632,6,96,300000.0,4800000.0,350000.0,4850000.0
32632,6,97,300000.0,4850000.0,350000.0,4900000.0
32632,6,98,300000.0,4900000.0,350000.0,4950000.0
32632,6,99,300000.0,4950000.0,350000.0,5000000.0
32632,6,100,300000.0,5000000.0,350000.0,5050000.0
32632,6,101,300000.0,5050000.0,350000.0,5100000.0
32632,6,102,300000.0,5100000.0,350000.0,5150000.0
32632,6,103,300000.0,5150000.0,350000.0,5200000.0
32632,6,104,300000.0,5200000.0,350000.0,5250000.0
32632,6,105,300000.0,5250000.0,350000.0,5300000.0
32632,6,106,300000.0,5300000.0,350000.0,5350000.0
32632,6,109,300000.0,5450000.0,350000.0,5500000.0
32632,6,110,300000.0,5500000.0,350000.0,5550000.0
32632,7,96,350000.0,4800000.0,400000.0,4850000.0
32632,7,97,350000.0,4850000.0,400000.0,4900000.0
32632,7,98,350000.0,4900000.0,400000.0,4950000.0
32632,7,99,350000.0,4950000.0,400000.0,5000000.0
32632,7,100,350000.0,5000000.0,400000.0,5050000.0
32632,7,101,350000.0,5050000.0,400000.0,5100000.0
32632,7,102,350000.0,5100000.0,400000.0,5150000.0
32632,7,103,350000.0,5150000.0,400000.0,5200000.0
32632,7,104,350000.0,5200000.0,400000.0,5250000.0
32632,7,105,350000.0,5250000.0,400000.0,5300000.0
32632,7,106,350000.0,5300000.0,400000.0,5350000.0
32632,7,107,350000.0,5350000.0,400000.0,5400000.0
32632,7,108,350000.0,5400000.0,400000.0,5450000.0
32632,7,111,350000.0,5550000.0,400000.0,5600000.0
32632,8,97,400000.0,4850000.0,450000.0,4900000.0
32632,8,98,400000.0,4900000.0,450000.0,4950000.0
32632,8,100,400000.0,5000000.0,450000.0,5050000.0
32632,8,101,400000.0,5050000.0,450000.0,5100000.0
32632,8,102,400000.0,5100000.0,450000.0,5150000.0
32632,8,103,400000.0,5150000.0,450000.0,5200000.0
32632,8,105,400000.0,5250000.0,450000.0,5300000.0
32632,8,106,400000.0,5300000.0,450000.0,5350000.0
32632,8,107,400000.0,5350000.0,450000.0,5400000.0
32632,8,108,400000.0,5400000.0,450000.0,5450000.0
32632,8,110,400000.0,5500000.0,450000.0,5550000.0
32632,9,92,450000.0,4600000.0,500000.0,4650000.0
32632,9,93,450000.0,4650000.0,500000.0,4700000.0
32632,9,94,450000.0,4700000.0,500000.0,4750000.0
32632,9,101,450000.0,5050000.0,500000.0,5100000.0
32632,9,102,450000.0,5100000.0,500000.0,5150000.0
32632,9,103,450000.0,5150000.0,500000.0,5200000.0
32632,9,104,450000.0,5200000.0,500000.0,5250000.0
32632,9,137,450000.0,6850000.0,500000.0,6900000.0
32632,10,93,500000.0,4650000.0,550000.0,4700000.0
32632,10,94,500000.0,4700000.0,550000.0,4750000.0
32632,10,99,500000.0,4950000.0,550000.0,5000000.0
32632,10,101,500000.0,5050000.0,550000.0,5100000.0
32632,10,104,500000.0,5200000.0,550000.0,5250000.0
32632,11,98,550000.0,4900000.0,600000.0,4950000.0
32632,11,101,550000.0,5050000.0,600000.0,5100000.0
32632,11,104,550000.0,5200000.0,600000.0,5250000.0
32632,11,105,550000.0,5250000.0,600000.0,5300000.0
32632,11,111,550000.0,5550000.0,600000.0,5600000.0
32632,12,96,600000.0,4800000.0,650000.0,4850000.0
32632,12,98,600000.0,4900000.0,650000.0,4950000.0
32632,12,101,600000.0,5050000.0,650000.0,5100000.0
32632,12,102,600000.0,5100000.0,650000.0,5150000.0
32632,12,104,600000.0,5200000.0,650000.0,5250000.0
32632,13,101,650000.0,5050000.0,700000.0,5100000.0
32632,13,102,650000.0,5100000.0,700000.0,5150000.0
32632,13,104,650000.0,5200000.0,700000.0,5250000.0
32632,13,105,650000.0,5250000.0,700000.0,5300000.0
32632,13,110,650000.0,5500000.0,700000.0,5550000.0
32632,13,112,650000.0,5600000.0,700000.0,5650000.0
32632,14,101,700000.0,5050000.0,750000.0,5100000.0
32632,14,102,700000.0,5100000.0,750000.0,5150000.0
32632,14,103,700000.0,5150000.0,750000.0,5200000.0
32632,14,104,700000.0,5200000.0,750000.0,5250000.0
32632,14,105,700000.0,5250000.0,750000.0,5300000.0
32633,5,102,250000.0,5100000.0,300000.0,5150000.0
32633,5,104,250000.0,5200000.0,300000.0,5250000.0
32633,5,105,250000.0,5250000.0,300000.0,5300000.0
32633,6,84,300000.0,4200000.0,350000.0,4250000.0
32633,6,92,300000.0,4600000.0,350000.0,4650000.0
32633,6,94,300000.0,4700000.0,350000.0,4750000.0
32633,6,95,300000.0,4750000.0,350000.0,4800000.0
32633,6,96,300000.0,4800000.0,350000.0,4850000.0
32633,6,102,300000.0,5100000.0,350000.0,5150000.0
32633,6,103,300000.0,5150000.0,350000.0,5200000.0
32633,6,104,300000.0,5200000.0,350000.0,5250000.0
32633,6,105,300000.0,5250000.0,350000.0,5300000.0
32633,7,84,350000.0,4200000.0,400000.0,4250000.0
32633,7,92,350000.0,4600000.0,400000.0,4650000.0
32633,7,93,350000.0,4650000.0,400000.0,4700000.0
32633,7,94,350000.0,4700000.0,400000.0,4750000.0
32633,7,95,350000.0,4750000.0,400000.0,4800000.0
32633,7,102,350000.0,5100000.0,400000.0,5150000.0
32633,7,103,350000.0,5150000.0,400000.0,5200000.0
32633,7,105,350000.0,5250000.0,400000.0,5300000.0
32633,8,83,400000.0,4150000.0,450000.0,4200000.0
32633,8,93,400000.0,4650000.0,450000.0,4700000.0
32633,8,101,400000.0,5050000.0,450000.0,5100000.0
32633,8,102,400000.0,5100000.0,450000.0,5150000.0
32633,8,103,400000.0,5150000.0,450000.0,5200000.0
32633,9,99,450000.0,4950000.0,500000.0,5000000.0
32633,9,102,450000.0,5100000.0,500000.0,5150000.0
32633,13,95,650000.0,4750000.0,700000.0,4800000.0
32634,5,94,250000.0,4700000.0,300000.0,4750000.0
32634,6,93,300000.0,4650000.0,350000.0,4700000.0
32634,8,90,400000.0,4500000.0,450000.0,4550000.0
32634,9,87,450000.0,4350000.0,500000.0,4400000.0
32634,9,88,450000.0,4400000.0,500000.0,4450000.0
32634,9,90,450000.0,4500000.0,500000.0,4550000.0
32634,9,96,450000.0,4800000.0,500000.0,4850000.0
32634,10,85,500000.0,4250000.0,550000.0,4300000.0
32634,10,91,500000.0,4550000.0,550000.0,4600000.0
32634,10,99,500000.0,4950000.0,550000.0,5000000.0
32634,11,102,550000.0,5100000.0,600000.0,5150000.0
32634,12,83,600000.0,4150000.0,650000.0,4200000.0
32634,12,85,600000.0,4250000.0,650000.0,4300000.0
32634,12,88,600000.0,4400000.0,650000.0,4450000.0
32634,13,82,650000.0,4100000.0,700000.0,4150000.0
32634,13,83,650000.0,4150000.0,700000.0,4200000.0
32634,13,93,650000.0,4650000.0,700000.0,4700000.0
32634,13,94,650000.0,4700000.0,700000.0,4750000.0
32634,13,107,650000.0,5350000.0,700000.0,5400000.0
32634,14,93,700000.0,4650000.0,750000.0,4700000.0
32635,5,93,250000.0,4650000.0,300000.0,4700000.0
32635,6,92,300000.0,4600000.0,350000.0,4650000.0
