discipline,estimator,t_s,msd_m2,n_flights,sem_m2
paragliders,flight,67.0,250098.80437966983,156348.0,
paragliders,flight,75.0,310693.8111434279,156344.0,
paragliders,flight,85.0,386929.04257331643,156331.0,
paragliders,flight,95.0,480646.2594536943,156316.0,
paragliders,flight,107.0,594692.6046251087,156292.0,
paragliders,flight,121.0,741333.6949124512,156279.0,
paragliders,flight,137.0,932100.7194708482,156250.0,
paragliders,flight,154.0,1154307.401479443,156218.0,
paragliders,flight,174.0,1441951.4913318139,156186.0,
paragliders,flight,196.0,1785293.0124563596,156173.0,
paragliders,flight,221.0,2211610.436109071,156142.0,
paragliders,flight,249.0,2740015.8476930764,156101.0,
paragliders,flight,281.0,3390100.7471942594,156058.0,
paragliders,flight,316.0,4172915.1213763864,156019.0,
paragliders,flight,357.0,5161786.656013897,155971.0,
paragliders,flight,402.0,6344422.121816498,155904.0,
paragliders,flight,453.0,7814066.48556606,155843.0,
paragliders,flight,511.0,9611014.896312704,155770.0,
paragliders,flight,576.0,11802736.166625094,155699.0,
paragliders,flight,649.0,14468214.478738656,155606.0,
paragliders,flight,732.0,17743848.058085885,155518.0,
paragliders,flight,825.0,21730864.93774801,155413.0,
paragliders,flight,931.0,26648312.123875406,155262.0,
paragliders,flight,1049.0,32568112.33807618,155097.0,
paragliders,flight,1183.0,39818943.14541406,154891.0,
paragliders,flight,1334.0,48527652.36514825,153881.0,
paragliders,flight,1504.0,59055275.03688409,152124.0,
paragliders,flight,1695.0,71884962.17428757,149545.0,
paragliders,flight,1911.0,87543846.51112655,145806.0,
paragliders,flight,2155.0,107006197.75797458,140790.0,
paragliders,flight,2429.0,131233126.68733901,134205.0,
paragliders,flight,2739.0,161774035.80262852,126259.0,
paragliders,flight,3088.0,200373950.4082845,116746.0,
paragliders,flight,3481.0,249622328.4660001,106009.0,
paragliders,flight,3925.0,313938563.5782554,94107.0,
paragliders,flight,4425.0,396649943.4577248,81804.0,
paragliders,flight,4989.0,504380815.0472937,69024.0,
paragliders,flight,5624.0,645459474.080769,56881.0,
paragliders,flight,6341.0,828049657.936579,45452.0,
paragliders,flight,7149.0,1055583885.6830205,35413.0,
paragliders,flight,8059.0,1351696296.7684753,26728.0,
paragliders,flight,9086.0,1729378091.645722,19407.0,
paragliders,flight,10000.0,2111980424.4693134,14480.0,
paragliders,flight,10244.0,2223202005.7979097,13363.0,
paragliders,flight,11549.0,2879974042.5588236,8449.0,
paragliders,flight,13021.0,3797589894.769918,4870.0,
paragliders,flight,14680.0,5002798591.583059,2432.0,
paragliders,flight,16550.0,6794325222.834242,917.0,
paragliders,flight,18659.0,8585898404.371585,183.0,
paragliders,flight,21037.0,7991955712.0,6.0,
paragliders,flight,23717.0,,0.0,
paragliders,flight,26739.0,,0.0,
paragliders,flight,30146.0,,0.0,
paragliders,flight,33987.0,,0.0,
paragliders,flight,38318.0,,0.0,
paragliders,flight,43200.0,,0.0,
paragliders,window,1.0,105.4956476162454,1222499531.0,
paragliders,window,2.0,415.89127427986455,1289819766.0,
paragliders,window,3.0,952.8858466009672,1318699358.0,
