group,lag_s,flights,point,low,high
open,1000,17961,42760877.361569904,42325375.185532965,43210021.79614841
open,1070,17961,48297361.218756534,47795806.76955197,48813517.774837896
open,1310,17961,69561142.38777496,68808868.66517511,70339151.98460175
open,1610,17961,100972570.60179509,99824380.71859266,102165511.46673627
open,1970,17961,145494615.12971982,143752179.6697962,147277552.69070604
open,2410,17961,209567674.35654548,206918859.08731943,212249987.4574133
open,2960,17961,303792043.794888,299739585.3717266,307925240.657331
open,3620,17961,436243113.51900715,430049524.7064244,442553443.541685
open,4440,17961,627946968.8311453,618536274.1748693,637497546.6897243
open,5440,17961,898788821.6753968,884432152.7870091,913341844.386426
