discipline,altitude_band,control,lag_s,mean_m2,n_flights,n_clusters,pointwise_95_low_m2,pointwise_95_high_m2
paragliders,Plains,fixed long segments,249.0,5743476.934839629,417,319,5448192.392579402,6094201.731673708
paragliders,Plains,fixed long segments,281.0,7202961.267386091,417,319,6828036.208447034,7650883.988151402
paragliders,Plains,fixed long segments,316.0,9006483.146657674,417,319,8531863.943510637,9567639.47175725
paragliders,Plains,fixed long segments,357.0,11329607.714928057,417,319,10726658.060186485,12042593.556229249
paragliders,Plains,fixed long segments,402.0,14158782.886615707,417,319,13398102.976923548,15058140.206502214
paragliders,Plains,fixed long segments,453.0,17781065.931055155,417,319,16810089.14498613,18926521.37708757
paragliders,Plains,fixed long segments,511.0,22302594.304931056,417,319,21074091.02576303,23755736.70645908
paragliders,Plains,fixed long segments,576.0,28004639.070818346,417,319,26440112.05074246,29840188.581006214
paragliders,Plains,fixed long segments,649.0,35121098.837455034,417,319,33136952.727025863,37454380.53935294
paragliders,Plains,fixed long segments,732.0,44104622.189523384,417,319,41602971.02660246,47070914.95425311
paragliders,Plains,fixed long segments,825.0,55431207.643735014,417,319,52263255.53100691,59203000.02194652
paragliders,Plains,fixed long segments,931.0,69888605.95743406,417,319,65833386.306840055,74704835.61020182
paragliders,Plains,fixed long segments,1049.0,87979334.94289568,417,319,82829330.5805747,94097930.31624192
paragliders,Plains,fixed long segments,1183.0,110924505.00824341,417,319,104376850.94593634,118701367.83415301
paragliders,Plains,fixed long segments,1334.0,139947086.397482,417,319,131634269.56149685,149840166.24623275
paragliders,Plains,fixed long segments,1504.0,176655726.22736812,417,319,166095785.11184424,189188830.14626637
paragliders,Plains,fixed long segments,1695.0,223113864.47691846,417,319,209656942.87478596,239001631.0790053
paragliders,Plains,fixed long segments,1911.0,281918003.10206836,417,319,264869846.45141697,302049817.606108
paragliders,Plains,fixed long segments,2155.0,356932116.1842026,417,319,335234448.54504555,382512556.8297329
paragliders,Plains,fixed long segments,2429.0,451516380.63983816,417,319,424012974.72625,484062275.634091
paragliders,Plains,fixed long segments,2739.0,571935922.0073441,417,319,536857766.6070909,613512524.3721187
